ID,COURSE,NAME,SHORTDESCRIPTION,INTRO,INTROFORMAT,STARTDATE,DUEDATE,DATA_ENTREGA
40,6,Questão 01,Faça um programa que leia um número inteiro e o imprima.,"<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia um número inteiro e o imprima.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.37.49.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1682726400,2023-04-29 00:00:00
41,6,Questão 02,Faça um programa que leia um número real e o imprima.,"<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia um número real e o imprima.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de Saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.40.28.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1682726400,2023-04-29 00:00:00
42,6,Questão 03,Faça um programa que peça ao usuário para digitar três valores inteiros e imprima a soma deles.,"<p dir=""ltr"" style=""text-align: left;"">Faça um programa que peça ao usuário para digitar três valores inteiros e imprima a soma deles.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.44.10.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1682726400,2023-04-29 00:00:00
43,6,Questão 04,Faça um programa que leia um número real e imprima o resultado do quadrado desse número.,"<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia um número real e imprima o resultado do quadrado desse número.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.45.27.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1682726400,2023-04-29 00:00:00
44,6,Questão 05,Faça um programa que leia um número real e imprima a quinta parte deste número.,"<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia um número real e imprima a quinta parte deste número.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.47.11.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1682726400,2023-04-29 00:00:00
45,6,Questão 06,"Faça um programa que leia uma temperatura em graus Celsius e apresente-a convertida em graus Fahrenheit. Sabendo que a fórmula de conversão é: F=1.8C+32.0, onde F é a temperatura na escala Fahrenheit e C a temperatura na escala Celsius.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia uma temperatura em graus Celsius e apresente-a convertida em graus Fahrenheit. Sabendo que a fórmula de conversão é: F=1.8C+32.0, onde F é a temperatura na escala Fahrenheit e C a temperatura na escala Celsius.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.48.27.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1682726400,2023-04-29 00:00:00
46,6,Questão 07,"Faça um programa que leia uma temperatura em graus Fahrenheit e apresente-a convertida em graus Celsius. Sabendo que a fórmula de conversão é: C=(F-32)/1.8, sendo C a temperatura em Celsius e F a temperatura em Fahrenheit.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia uma temperatura em graus Fahrenheit e apresente-a convertida em graus Celsius. Sabendo que a fórmula de conversão é: C=(F-32)/1.8, sendo C a temperatura em Celsius e F a temperatura em Fahrenheit.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.51.58.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1682726400,2023-04-29 00:00:00
47,6,Questão 08,"Faça um programa que leia uma temperatura em graus Kelvin e apresente-a convertida em graus Celsius. A fórmula de conversão é: C=K-273, sendo C a temperatura em Celsius e K a temperatura em Kelvin.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia uma temperatura em graus Kelvin e apresente-a convertida em graus Celsius. A fórmula de conversão é: C=K-273, sendo C a temperatura em Celsius e K a temperatura em Kelvin.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.53.50.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1682726400,2023-04-29 00:00:00
48,6,Questão 09,"Faça um programa que leia uma temperatura em graus Celsius e apresente-a convertida em graus Kelvin. À fórmula de conversão é: K = C + 273.15, sendo C a temperatura em Celsius e K a temperatura em Kelvin.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia uma temperatura em graus Celsius e apresente-a convertida em graus Kelvin. À fórmula de conversão é: K = C + 273.15, sendo C a temperatura em Celsius e K a temperatura em Kelvin.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.55.01.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1682726400,2023-04-29 00:00:00
49,6,Questão 10,"Faça um programa que leia uma velocidade em km/h (quilômetros por hora) e apresente-a convertida em m/s (metros por segundo). A fórmula de conversão é: M = K/3.6, sendo K a velocidade em km/h e M em m/s.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia uma velocidade em km/h (quilômetros por hora) e apresente-a convertida em m/s (metros por segundo). A fórmula de conversão é: M = K/3.6, sendo K a velocidade em km/h e M em m/s.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.56.18.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687996800,2023-06-29 00:00:00
50,6,Questão 11,"Faça um programa que leia uma velocidade em m/s (metros por segundo) e apresente-a convertida em km/h (quilômetros por hora). A fórmula de conversão é: K = M*3.6, sendo K a velocidade em km/h e M em m/s.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia uma velocidade em m/s (metros por segundo) e apresente-a convertida em km/h (quilômetros por hora). A fórmula de conversão é: K = M*3.6, sendo K a velocidade em km/h e M em m/s.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2009.57.29.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687996800,2023-06-29 00:00:00
51,6,Questão 12,"Faça um programa que leia um valor de volume em metros cúbicos e apresente-o convertido em litros. A fórmula de conversão é: L = 1000 * M, sendo L o volume em litros e M o volume em metros cúbicos.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia um valor de volume em metros cúbicos e apresente-o convertido em litros. A fórmula de conversão é: L = 1000 * M, sendo L o volume em litros e M o volume em metros cúbicos.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-11%20a%CC%80s%2022.22.17.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687996800,2023-06-29 00:00:00
53,6,Questão 13,"Faça um programa que leia um valor de volume em litros e apresente-o convertido em metros cúbicos. A fórmula de conversão é: M = L/1000, sendo L o volume em litros e M o volume em metros cúbicos.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa que leia um valor de volume em litros e apresente-o convertido em metros cúbicos. A fórmula de conversão é: M = L/1000, sendo L o volume em litros e M o volume em metros cúbicos.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-12%20a%CC%80s%2009.04.40.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687996800,2023-06-29 00:00:00
54,6,Questão 14,"Leia um valor de área em hectares e apresente-o convertido em metros quadrados m2.  A fórmula de conversão é: M = H * 10000, sendo M a área em metros quadrados e H a área em hectares.","<p dir=""ltr"" style=""text-align: left;"">Leia um valor de área em hectares e apresente-o convertido em metros quadrados m2.&nbsp; A fórmula de conversão é: M = H * 10000, sendo M a área em metros quadrados e H a área em hectares.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-12%20a%CC%80s%2009.05.48.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687996800,2023-06-29 00:00:00
55,6,Questão 15,"Faça um programa em C que realize a leitura de três valores e apresente como resultado a soma dos quadrados dos
três valores lidos.
","<p dir=""ltr"">Faça um programa em C que realize a leitura de três valores e apresente como resultado a soma dos quadrados dos&nbsp;<span style=""font-size: 0.9375rem; font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">três valores lidos.</span></p><p dir=""ltr""><span style=""font-size: 0.9375rem; font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">Exemplo de saída:</span></p><p dir=""ltr""><span style=""font-size: 0.9375rem; font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2010.02.18.png"" alt="""" role=""presentation"" class=""img-fluid""><br></span></p>",1,0,1687996800,2023-06-29 00:00:00
56,6,Questão 16,"Faça um programa em C que leia quatro notas, calcule a média aritmética e imprima o resultado.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa em C que leia quatro notas, calcule a média aritmética e imprima o resultado.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-12%20a%CC%80s%2009.11.04.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687996800,2023-06-29 00:00:00
57,6,Questão 17,"Faça um programa em C que leia um valor em real e a cotação do dólar. Em seguida, imprima o valor correspondente em dólares.","<p dir=""ltr"" style=""text-align: left;"">Faça um programa em C que leia um valor em real e a cotação do dólar. Em seguida, imprima o valor correspondente em dólares.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-10%20a%CC%80s%2010.05.24.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687996800,2023-06-29 00:00:00
58,6,Questão 18,Faça um programa em C que leia um número inteiro e imprima o seu antecessor e o seu sucessor.,"<p dir=""ltr"" style=""text-align: left;"">Faça um programa em C que leia um número inteiro e imprima o seu antecessor e o seu sucessor.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-12%20a%CC%80s%2009.12.30.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687996800,2023-06-29 00:00:00
59,6,Questão 19,Faça um programa em C que leia um número inteiro e imprima a soma do sucessor de seu triplo com o antecessor de seu dobro.,"<p dir=""ltr"" style=""text-align: left;"">Faça um programa em C que leia um número inteiro e imprima a soma do sucessor de seu triplo com o antecessor de seu dobro.<br></p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-12%20a%CC%80s%2008.13.55.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1687996800,2023-06-29 00:00:00
60,6,Questão 20,Faça um programa em C que leia o tamanho do lado de um quadrado e imprima como resultado a sua área.,"<p dir=""ltr"" style=""text-align: left;""></p><p>Faça um programa em C que leia o tamanho
do lado de um quadrado e imprima como resultado a sua área.</p><p>Exemplo de saída:</p><p><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-12%20a%CC%80s%2009.13.47.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p><br><p></p>",1,0,1689811200,2023-07-20 00:00:00
